"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 07 22:11:15 CST 2020","Sun Jun 07 22:11:15 CST 2020","0","test_case","test_allure","","","","test_al",""
"passed","Sun Jun 07 22:11:15 CST 2020","Sun Jun 07 22:11:15 CST 2020","269","test_case","test_one","TestOne","","","test_requestOne",""
